2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:04 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:05 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:06 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:07 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:17:10 | DEBUG    | database             | [DB] Sessão devolvida ao pool
